club,elo,club_clean,snapshot_date
Burnley,1697.64562988,burnley,2019-09-01
Levante,1695.06408691,levante,2019-09-01
Alaves,1693.51367188,alaves,2019-09-01
Bournemouth,1692.85388184,bournemouth,2019-09-01
Torino,1690.83288574,torino,2019-09-01
Brugge,1688.03491211,brugge,2019-09-01
Celta,1687.90405273,celta,2019-09-01
Southampton,1685.62683105,southampton,2019-09-01
Crvena Zvezda,1683.83520508,crvena zvezda,2019-09-01
Dinamo Zagreb,1682.77893066,dinamo zagreb,2019-09-01
Lille,1680.7355957,lille,2019-09-01
Betis,1679.48693848,betis,2019-09-01
Young Boys,1678.15649414,young boys,2019-09-01
Lazio,1674.00769043,lazio,2019-09-01
Zenit,1672.00622559,zenit,2019-09-01
Watford,1661.65380859,watford,2019-09-01
Schalke,1660.74621582,schalke,2019-09-01
Osasuna,1659.5760498,osasuna,2019-09-01
FC Krasnodar,1656.63317871,fc krasnodar,2019-09-01
Slavia Praha,1655.33117676,slavia praha,2019-09-01
Dynamo Kyiv,1651.75439453,dynamo kyiv,2019-09-01
Rennes,1651.17431641,rennes,2019-09-01
Leganes,1650.17578125,leganes,2019-09-01
CSKA Moskva,1648.11914062,cska moskva,2019-09-01
Saint-Etienne,1647.90942383,saint-etienne,2019-09-01
PAOK,1643.6472168,paok,2019-09-01
Sheffield United,1641.10388184,sheffield united,2019-09-01
Norwich,1639.78759766,norwich,2019-09-01
Braga,1636.80883789,braga,2019-09-01
Genk,1635.61804199,genk,2019-09-01
Marseille,1633.87304688,marseille,2019-09-01
Brighton,1630.68847656,brighton,2019-09-01
Valladolid,1630.37768555,valladolid,2019-09-01
Mainz,1627.19287109,mainz,2019-09-01
Hertha,1625.7878418,hertha,2019-09-01
Huesca,1623.5958252,huesca,2019-09-01
Aston Villa,1622.25561523,aston villa,2019-09-01
Lok Moskva,1621.72827148,lok moskva,2019-09-01
West Brom,1619.97302246,west brom,2019-09-01
Duesseldorf,1618.63415527,duesseldorf,2019-09-01
Montpellier,1613.94824219,montpellier,2019-09-01
Girona,1613.72888184,girona,2019-09-01
Freiburg,1613.59594727,freiburg,2019-09-01
Basel,1611.73254395,basel,2019-09-01
APOEL,1608.95263672,apoel,2019-09-01
Alkmaar,1605.77246094,alkmaar,2019-09-01
Besiktas,1604.13452148,besiktas,2019-09-01
Nice,1604.09228516,nice,2019-09-01
Celtic,1601.11218262,celtic,2019-09-01
Granada,1600.48181152,granada,2019-09-01
Feyenoord,1599.53881836,feyenoord,2019-09-01
Standard,1595.70019531,standard,2019-09-01
Sampdoria,1595.24987793,sampdoria,2019-09-01
LASK,1594.37976074,lask,2019-09-01
Fulham,1594.06884766,fulham,2019-09-01
Swansea,1593.54406738,swansea,2019-09-01
Gent,1592.22167969,gent,2019-09-01
FC Kobenhavn,1591.16625977,fc kobenhavn,2019-09-01
Cardiff,1591.13537598,cardiff,2019-09-01
Reims,1590.9309082,reims,2019-09-01
Galatasaray,1590.10253906,galatasaray,2019-09-01
Augsburg,1589.33300781,augsburg,2019-09-01
Stuttgart,1588.54455566,stuttgart,2019-09-01
Fiorentina,1587.82885742,fiorentina,2019-09-01
Nantes,1584.99951172,nantes,2019-09-01
Leeds,1582.97924805,leeds,2019-09-01
Rayo Vallecano,1581.27697754,rayo vallecano,2019-09-01
Angers,1578.31420898,angers,2019-09-01
Spartak Moskva,1578.04101562,spartak moskva,2019-09-01
Cadiz,1577.46142578,cadiz,2019-09-01
Depor,1576.92285156,depor,2019-09-01
Bologna,1576.79614258,bologna,2019-09-01
Koeln,1576.4387207,koeln,2019-09-01
Malaga,1575.22302246,malaga,2019-09-01
Nimes,1573.22583008,nimes,2019-09-01
Udinese,1572.32470703,udinese,2019-09-01
Mallorca,1571.64245605,mallorca,2019-09-01
Rangers,1567.74353027,rangers,2019-09-01
Bordeaux,1564.61376953,bordeaux,2019-09-01
Rostov,1563.08886719,rostov,2019-09-01
Trabzonspor,1562.95153809,trabzonspor,2019-09-01
Sassuolo,1562.87023926,sassuolo,2019-09-01
CFR Cluj,1558.23583984,cfr cluj,2019-09-01
Union Berlin,1558.17871094,union berlin,2019-09-01
Apollon Lemesos,1557.11401367,apollon lemesos,2019-09-01
Derby,1556.83300781,derby,2019-09-01
Bueyueksehir,1555.75952148,bueyueksehir,2019-09-01
Bristol City,1554.88964844,bristol city,2019-09-01
Empoli,1549.73303223,empoli,2019-09-01
Hamburg,1548.55871582,hamburg,2019-09-01
Almeria,1548.26647949,almeria,2019-09-01
AEK,1548.09570312,aek,2019-09-01
Vitesse,1547.09631348,vitesse,2019-09-01
Fenerbahce,1546.18884277,fenerbahce,2019-09-01
Gijon,1545.58508301,gijon,2019-09-01
Strasbourg,1544.68041992,strasbourg,2019-09-01
Genoa,1544.66052246,genoa,2019-09-01
Monaco,1543.95227051,monaco,2019-09-01
Brentford,1543.88232422,brentford,2019-09-01
Malmoe,1542.59240723,malmoe,2019-09-01
Spal,1540.51965332,spal,2019-09-01
Viktoria Plzen,1536.6751709,viktoria plzen,2019-09-01
Preston,1535.10900879,preston,2019-09-01
Middlesbrough,1534.58898926,middlesbrough,2019-09-01
Charleroi,1533.43981934,charleroi,2019-09-01
Albacete,1533.23278809,albacete,2019-09-01
Guimaraes,1532.35644531,guimaraes,2019-09-01
Hannover,1531.13183594,hannover,2019-09-01
Rijeka,1529.47216797,rijeka,2019-09-01
Forest,1528.00769043,forest,2019-09-01
Kortrijk,1526.72680664,kortrijk,2019-09-01
Zaragoza,1526.38928223,zaragoza,2019-09-01
Metz,1526.21130371,metz,2019-09-01
Sheffield Weds,1526.17724609,sheffield weds,2019-09-01
Utrecht,1525.32324219,utrecht,2019-09-01
Cagliari,1521.45471191,cagliari,2019-09-01
Larnaca,1520.13842773,larnaca,2019-09-01
Rapid Wien,1518.95153809,rapid wien,2019-09-01
Rio Ave,1516.91748047,rio ave,2019-09-01
Antwerp,1515.49316406,antwerp,2019-09-01
Midtjylland,1515.08691406,midtjylland,2019-09-01
Razgrad,1515.01525879,razgrad,2019-09-01
Molde,1514.8659668,molde,2019-09-01
Brest,1513.31066895,brest,2019-09-01
Oviedo,1512.38586426,oviedo,2019-09-01
Tula,1511.40380859,tula,2019-09-01
Toulouse,1510.81066895,toulouse,2019-09-01
FK Astana,1510.1505127,fk astana,2019-09-01
Terek Grozny,1509.94433594,terek grozny,2019-09-01
Bielefeld,1508.10058594,bielefeld,2019-09-01
Birmingham,1506.50891113,birmingham,2019-09-01
Hajduk,1506.19775391,hajduk,2019-09-01
Dynamo Moskva,1505.44116211,dynamo moskva,2019-09-01
Troyes,1503.18579102,troyes,2019-09-01
Boavista,1500.77185059,boavista,2019-09-01
Paderborn,1500.19470215,paderborn,2019-09-01
M Tel Aviv,1499.66796875,m tel aviv,2019-09-01
Rosenborg,1498.9251709,rosenborg,2019-09-01
Wolfsberg,1498.29077148,wolfsberg,2019-09-01
Parma,1496.92248535,parma,2019-09-01
Tenerife,1495.20422363,tenerife,2019-09-01
Amiens,1494.78771973,amiens,2019-09-01
AIK,1494.22570801,aik,2019-09-01
Hull,1493.39050293,hull,2019-09-01
BATE,1492.5402832,bate,2019-09-01
Anderlecht,1492.01135254,anderlecht,2019-09-01
Rubin Kazan,1491.13134766,rubin kazan,2019-09-01
Las Palmas,1490.24230957,las palmas,2019-09-01
St Truiden,1489.90002441,st truiden,2019-09-01
Zorya,1488.36962891,zorya,2019-09-01
Elche,1485.44787598,elche,2019-09-01
Huddersfield,1485.08947754,huddersfield,2019-09-01
Djurgarden,1484.59460449,djurgarden,2019-09-01
Nuernberg,1483.06103516,nuernberg,2019-09-01
Brescia,1482.47729492,brescia,2019-09-01
Heidenheim,1482.35180664,heidenheim,2019-09-01
Osijek,1481.66113281,osijek,2019-09-01
Le Havre,1481.42675781,le havre,2019-09-01
Extremadura,1480.38891602,extremadura,2019-09-01
Lugo,1478.69091797,lugo,2019-09-01
Norrkoeping,1478.06860352,norrkoeping,2019-09-01
Stoke,1477.55175781,stoke,2019-09-01
Numancia,1477.05944824,numancia,2019-09-01
Sverdlovsk,1475.74389648,sverdlovsk,2019-09-01
Blackburn,1475.65429688,blackburn,2019-09-01
Sparta Praha,1475.48840332,sparta praha,2019-09-01
Millwall,1475.39892578,millwall,2019-09-01
Karabakh Agdam,1475.37231445,karabakh agdam,2019-09-01
Partizan,1474.84753418,partizan,2019-09-01
Holstein,1473.98864746,holstein,2019-09-01
Regensburg,1473.39074707,regensburg,2019-09-01
Zulte Waregem,1473.14672852,zulte waregem,2019-09-01
Sturm Graz,1472.7409668,sturm graz,2019-09-01
Charlton,1470.84313965,charlton,2019-09-01
Orenburg,1470.71618652,orenburg,2019-09-01
Dijon,1470.45568848,dijon,2019-09-01
Ferencvaros,1468.86108398,ferencvaros,2019-09-01
Moreirense,1468.67443848,moreirense,2019-09-01
Ufa,1468.39562988,ufa,2019-09-01
Fuenlabrada,1468.3494873,fuenlabrada,2019-09-01
Lorient,1467.35876465,lorient,2019-09-01
Reading,1467.12915039,reading,2019-09-01
Steaua,1464.67102051,steaua,2019-09-01
Sandhausen,1464.12646484,sandhausen,2019-09-01
QPR,1463.84558105,qpr,2019-09-01
Den Haag,1459.76928711,den haag,2019-09-01
Haecken,1459.1842041,haecken,2019-09-01
Guingamp,1458.51611328,guingamp,2019-09-01
Darmstadt,1457.52111816,darmstadt,2019-09-01
Alcorcon,1455.5736084,alcorcon,2019-09-01
Viitorul,1455.20922852,viitorul,2019-09-01
Austria Wien,1454.15246582,austria wien,2019-09-01
Brondby,1453.43933105,brondby,2019-09-01
CSKA Sofia,1453.30541992,cska sofia,2019-09-01
AEL Limassol,1452.94006348,ael limassol,2019-09-01
Lecce,1452.85119629,lecce,2019-09-01
Atromitos,1448.45092773,atromitos,2019-09-01
Benevento,1448.30627441,benevento,2019-09-01
Alanyaspor,1447.69226074,alanyaspor,2019-09-01
Konyaspor,1446.95715332,konyaspor,2019-09-01
Hammarby,1446.40332031,hammarby,2019-09-01
Mouscron,1445.96582031,mouscron,2019-09-01
Olexandriya,1445.1875,olexandriya,2019-09-01
Lens,1444.54711914,lens,2019-09-01
Lugano,1442.24853516,lugano,2019-09-01
Crotone,1441.63989258,crotone,2019-09-01
Sion,1441.33483887,sion,2019-09-01
Videoton,1441.08862305,videoton,2019-09-01
Jablonec,1440.16882324,jablonec,2019-09-01
Frosinone,1439.3927002,frosinone,2019-09-01
Malatyaspor,1439.17797852,malatyaspor,2019-09-01
Rizespor,1438.92614746,rizespor,2019-09-01
Groningen,1438.90869141,groningen,2019-09-01
Maritimo,1437.46105957,maritimo,2019-09-01
Bochum,1437.18798828,bochum,2019-09-01
Aue,1437.1036377,aue,2019-09-01
Chievo,1436.92956543,chievo,2019-09-01
Belenenses,1436.59838867,belenenses,2019-09-01
Luton,1435.59570312,luton,2019-09-01
Caen,1434.44494629,caen,2019-09-01
Famalicao,1433.95483398,famalicao,2019-09-01
Wigan,1433.80383301,wigan,2019-09-01
Mlada Boleslav,1433.58642578,mlada boleslav,2019-09-01
Fuerth,1433.41040039,fuerth,2019-09-01
Craiova,1432.99047852,craiova,2019-09-01
Santa Clara,1432.48571777,santa clara,2019-09-01
Verona,1432.19299316,verona,2019-09-01
Dresden,1431.90307617,dresden,2019-09-01
Clermont,1431.85754395,clermont,2019-09-01
Sivasspor,1431.43798828,sivasspor,2019-09-01
Osnabrueck,1431.14025879,osnabrueck,2019-09-01
Santander,1431.08312988,santander,2019-09-01
Willem II,1430.69213867,willem ii,2019-09-01
St Pauli,1429.58581543,st pauli,2019-09-01
Ponferradina,1428.55432129,ponferradina,2019-09-01
Soligorsk,1426.47387695,soligorsk,2019-09-01
Beer-Sheva,1425.44873047,beer-sheva,2019-09-01
Mirandes,1424.43041992,mirandes,2019-09-01
Portimonense,1424.40380859,portimonense,2019-09-01
Karlsruhe,1424.13964844,karlsruhe,2019-09-01
Panathinaikos,1421.7824707,panathinaikos,2019-09-01
Sochi,1420.64855957,sochi,2019-09-01
Legia,1420.39257812,legia,2019-09-01
Tondela,1420.15490723,tondela,2019-09-01
Heerenveen,1419.40539551,heerenveen,2019-09-01
Altach,1416.96520996,altach,2019-09-01
Oostende,1416.44396973,oostende,2019-09-01
Luzern,1415.82128906,luzern,2019-09-01
Gaz Metan,1414.88415527,gaz metan,2019-09-01
Paris FC,1412.80786133,paris fc,2019-09-01
Aberdeen,1412.2545166,aberdeen,2019-09-01
Aves,1411.50366211,aves,2019-09-01
Kryliya Sovetov,1411.28662109,kryliya sovetov,2019-09-01
Cittadella,1410.89819336,cittadella,2019-09-01
Ilichivets,1409.92773438,ilichivets,2019-09-01
Nordsjaelland,1408.67163086,nordsjaelland,2019-09-01
Barnsley,1408.33740234,barnsley,2019-09-01
Spezia,1406.45678711,spezia,2019-09-01
Zuerich,1406.31518555,zuerich,2019-09-01
Mattersburg,1405.54248047,mattersburg,2019-09-01
StGallen,1405.21008301,stgallen,2019-09-01
Setubal,1405.08776855,setubal,2019-09-01
Gil Vicente,1404.36474609,gil vicente,2019-09-01
Trnava,1402.54528809,trnava,2019-09-01
Tambov,1402.1932373,tambov,2019-09-01
Levski,1401.77575684,levski,2019-09-01
Antalyaspor,1401.11462402,antalyaspor,2019-09-01
Heracles,1401.05065918,heracles,2019-09-01
Thun,1400.03613281,thun,2019-09-01
Mechelen,1400.00927734,mechelen,2019-09-01
Perugia,1399.69091797,perugia,2019-09-01
Cremonese,1399.44592285,cremonese,2019-09-01
Dinamo Brest,1399.27563477,dinamo brest,2019-09-01
Aarhus,1399.11169434,aarhus,2019-09-01
Nis,1398.83764648,nis,2019-09-01
HNK Gorica,1396.43444824,hnk gorica,2019-09-01
Botosani,1395.47924805,botosani,2019-09-01
Odense,1394.85388184,odense,2019-09-01
Hartberg,1394.6505127,hartberg,2019-09-01
Odd Grenland,1393.63305664,odd grenland,2019-09-01
Lok Zagreb,1392.99914551,lok zagreb,2019-09-01
Ankaraguecue,1391.7644043,ankaraguecue,2019-09-01
Goeztepe,1391.45825195,goeztepe,2019-09-01
Slovan Liberec,1390.40881348,slovan liberec,2019-09-01
Aris,1390.06384277,aris,2019-09-01
Servette,1386.93395996,servette,2019-09-01
Valenciennes,1385.84118652,valenciennes,2019-09-01
Astra,1385.17785645,astra,2019-09-01
Piast Gliwice,1384.98474121,piast gliwice,2019-09-01
Maribor,1384.90661621,maribor,2019-09-01
Zwolle,1384.00744629,zwolle,2019-09-01
Xanthi,1383.48059082,xanthi,2019-09-01
Niort,1383.37341309,niort,2019-09-01
Kayseri,1382.1583252,kayseri,2019-09-01
Entella,1381.953125,entella,2019-09-01
Venlo,1381.77624512,venlo,2019-09-01
Sigma Olomouc,1381.47595215,sigma olomouc,2019-09-01
Pacos Ferreira,1380.55493164,pacos ferreira,2019-09-01
Pordenone,1379.90698242,pordenone,2019-09-01
Vorskla,1379.82958984,vorskla,2019-09-01
Wehen,1379.67871094,wehen,2019-09-01
Denizlispor,1378.43469238,denizlispor,2019-09-01
Jagiellonia,1377.03613281,jagiellonia,2019-09-01
Brann,1376.71716309,brann,2019-09-01
Pescara,1376.28613281,pescara,2019-09-01
Kasimpasa,1375.72875977,kasimpasa,2019-09-01
Sparta Rotterdam,1375.61865234,sparta rotterdam,2019-09-01
Goeteborg,1375.07116699,goeteborg,2019-09-01
Olimpija Ljubljana,1374.80957031,olimpija ljubljana,2019-09-01
Bodoe Glimt,1373.93017578,bodoe glimt,2019-09-01
Desna,1373.13952637,desna,2019-09-01
Haugesund,1371.32543945,haugesund,2019-09-01
St Poelten,1370.99926758,st poelten,2019-09-01
Slovan Bratislava,1370.64099121,slovan bratislava,2019-09-01
Asteras Tripolis,1370.61303711,asteras tripolis,2019-09-01
Ajaccio,1369.99182129,ajaccio,2019-09-01
Venezia,1368.57958984,venezia,2019-09-01
Cosenza,1368.30639648,cosenza,2019-09-01
Twente,1367.59936523,twente,2019-09-01
Auxerre,1365.98608398,auxerre,2019-09-01
Dinamo Minsk,1365.3515625,dinamo minsk,2019-09-01
Pisa,1364.9901123,pisa,2019-09-01
Dunajska,1364.78442383,dunajska,2019-09-01
Xamax,1362.51489258,xamax,2019-09-01
Juve Stabia,1362.38684082,juve stabia,2019-09-01
Karpaty,1362.12390137,karpaty,2019-09-01
Ruzomberok,1361.99829102,ruzomberok,2019-09-01
Dinamo Bucuresti,1361.48156738,dinamo bucuresti,2019-09-01
Kilmarnock,1359.57702637,kilmarnock,2019-09-01
Slovacko,1359.31274414,slovacko,2019-09-01
Admira,1359.0793457,admira,2019-09-01
FC Lviv,1357.44360352,fc lviv,2019-09-01
Cukaricki,1357.22045898,cukaricki,2019-09-01
Aalborg,1356.92883301,aalborg,2019-09-01
Nancy,1355.85583496,nancy,2019-09-01
Grenoble,1355.07043457,grenoble,2019-09-01
Chateauroux,1353.7088623,chateauroux,2019-09-01
OFI,1353.48144531,ofi,2019-09-01
Kristiansund,1351.42724609,kristiansund,2019-09-01
Bnei Yehuda,1351.26855469,bnei yehuda,2019-09-01
Ascoli,1350.93701172,ascoli,2019-09-01
Orleans,1350.37353516,orleans,2019-09-01
Banik Ostrava,1350.09558105,banik ostrava,2019-09-01
Beveren,1349.36474609,beveren,2019-09-01
Dnipro,1349.13806152,dnipro,2019-09-01
Valerenga,1348.62597656,valerenga,2019-09-01
Panionios,1348.45019531,panionios,2019-09-01
Wattens,1348.16210938,wattens,2019-09-01
Emmen,1348.0378418,emmen,2019-09-01
Pogon,1347.92431641,pogon,2019-09-01
Randers,1346.98181152,randers,2019-09-01
Gaziantep FK,1346.63134766,gaziantep fk,2019-09-01
Sochaux,1345.9329834,sochaux,2019-09-01
Trapani,1345.57141113,trapani,2019-09-01
Sarpsborg,1344.60571289,sarpsborg,2019-09-01
Hibernian,1344.48937988,hibernian,2019-09-01
Lech,1343.3104248,lech,2019-09-01
Lechia,1343.19836426,lechia,2019-09-01
Slask,1343.08789062,slask,2019-09-01
Beroe Stara Zagora,1339.13879395,beroe stara zagora,2019-09-01
Larisa,1337.7791748,larisa,2019-09-01
Chambly Oise,1337.08605957,chambly oise,2019-09-01
Neftchi,1336.86828613,neftchi,2019-09-01
Kairat,1336.28796387,kairat,2019-09-01
Ostersund,1335.55297852,ostersund,2019-09-01
Bohemians Praha,1335.39672852,bohemians praha,2019-09-01
Eupen,1335.12414551,eupen,2019-09-01
Vaduz,1334.96496582,vaduz,2019-09-01
Rodez,1334.94628906,rodez,2019-09-01
Livorno,1334.15905762,livorno,2019-09-01
Lamia,1334.02587891,lamia,2019-09-01
Kolos,1331.74304199,kolos,2019-09-01
Slaven Belupo,1330.39782715,slaven belupo,2019-09-01
Cracovia,1328.17993164,cracovia,2019-09-01
Salernitana,1327.7713623,salernitana,2019-09-01
Maccabi Haifa,1325.28759766,maccabi haifa,2019-09-01
Elfsborg,1323.96923828,elfsborg,2019-09-01
SonderjyskE,1323.45556641,sonderjyske,2019-09-01
Iasi,1323.3494873,iasi,2019-09-01
Genclerbirligi,1323.24475098,genclerbirligi,2019-09-01
Debrecen,1322.85791016,debrecen,2019-09-01
Esbjerg,1322.63269043,esbjerg,2019-09-01
Sittard,1321.66467285,sittard,2019-09-01
Lillestrom,1320.61633301,lillestrom,2019-09-01
Waalwijk,1319.94006348,waalwijk,2019-09-01
Olimpik Donetsk,1319.84802246,olimpik donetsk,2019-09-01
Gabala,1317.6015625,gabala,2019-09-01
Panetolikos,1317.49255371,panetolikos,2019-09-01
Sepsi,1316.22277832,sepsi,2019-09-01
Domzale,1315.46142578,domzale,2019-09-01
Lubin,1311.58215332,lubin,2019-09-01
Wisla,1310.93310547,wisla,2019-09-01
Cercle Brugge,1310.11694336,cercle brugge,2019-09-01
Oerebro,1308.94396973,oerebro,2019-09-01
Teplice,1306.9588623,teplice,2019-09-01
Viking,1305.8026123,viking,2019-09-01
Ordabasy,1304.57324219,ordabasy,2019-09-01
Stabaek,1303.83703613,stabaek,2019-09-01
Suduva,1303.60168457,suduva,2019-09-01
Motherwell,1303.43713379,motherwell,2019-09-01
Beitar,1303.05175781,beitar,2019-09-01
Sabail,1301.88000488,sabail,2019-09-01
Tescoma Zlin,1301.53393555,tescoma zlin,2019-09-01
Sheriff Tiraspol,1298.77355957,sheriff tiraspol,2019-09-01
Gornik,1298.28869629,gornik,2019-09-01
Torpedo Zhodino,1297.61120605,torpedo zhodino,2019-09-01
Le Mans,1295.75952148,le mans,2019-09-01
Cherno More,1295.16259766,cherno more,2019-09-01
Honved,1294.68164062,honved,2019-09-01
Novi Sad,1293.49194336,novi sad,2019-09-01
Pribram,1291.96081543,pribram,2019-09-01
Netanya,1290.53796387,netanya,2019-09-01
Hobro,1289.48913574,hobro,2019-09-01
Botev Plovdiv,1288.6652832,botev plovdiv,2019-09-01
Karvina,1287.78881836,karvina,2019-09-01
Ujpest,1286.83996582,ujpest,2019-09-01
Etar,1281.96166992,etar,2019-09-01
Mjondalen,1280.6932373,mjondalen,2019-09-01
Mezokovesd-Zsory,1279.77734375,mezokovesd-zsory,2019-09-01
NFC Volos,1279.55432129,nfc volos,2019-09-01
Ventspils,1279.29443359,ventspils,2019-09-01
Hearts,1279.06286621,hearts,2019-09-01
Tromso,1278.90515137,tromso,2019-09-01
Tobol,1278.59436035,tobol,2019-09-01
Kiryat Shmona,1276.16149902,kiryat shmona,2019-09-01
Ceske Budejovice,1276.15771484,ceske budejovice,2019-09-01
Puskas Akademia,1275.97546387,puskas akademia,2019-09-01
Plock,1275.27233887,plock,2019-09-01
Kalmar,1274.83996582,kalmar,2019-09-01
Radnik Bijeljina,1270.97924805,radnik bijeljina,2019-09-01
Stromsgodset,1269.79943848,stromsgodset,2019-09-01
Sundsvall,1268.83911133,sundsvall,2019-09-01
Opava,1267.77868652,opava,2019-09-01
H Tel Aviv,1264.74279785,h tel aviv,2019-09-01
Livingston,1264.6817627,livingston,2019-09-01
Kisvarda,1263.6204834,kisvarda,2019-09-01
Zrinjski Mostar,1262.6685791,zrinjski mostar,2019-09-01
Dudelange,1262.50390625,dudelange,2019-09-01
Lyngby,1262.42077637,lyngby,2019-09-01
St Johnstone,1262.15600586,st johnstone,2019-09-01
Ranheim,1261.77429199,ranheim,2019-09-01
FK Sarajevo,1261.58703613,fk sarajevo,2019-09-01
Voluntari,1260.74462891,voluntari,2019-09-01
Hapoel Haifa,1260.74060059,hapoel haifa,2019-09-01
Paksi,1258.79040527,paksi,2019-09-01
Horsens,1258.76757812,horsens,2019-09-01
Mladost Lucani,1258.11975098,mladost lucani,2019-09-01
Celje,1256.62451172,celje,2019-09-01
Hermannstadt,1255.56994629,hermannstadt,2019-09-01
Mura,1253.26184082,mura,2019-09-01
IK Sirius,1252.63989258,ik sirius,2019-09-01
Dinamo Tbilisi,1252.02661133,dinamo tbilisi,2019-09-01
Lok Plovdiv,1251.55773926,lok plovdiv,2019-09-01
Gorodeya,1249.23413086,gorodeya,2019-09-01
Krusevac,1244.39453125,krusevac,2019-09-01
Zlatibor,1243.57714844,zlatibor,2019-09-01
Helsingborg,1243.0032959,helsingborg,2019-09-01
Hapoel Eran Hadera,1242.91308594,hapoel eran hadera,2019-09-01
Istra 1961,1240.89868164,istra 1961,2019-09-01
Aluminij,1239.42553711,aluminij,2019-09-01
Arka,1236.47021484,arka,2019-09-01
Inter Zapresic,1234.63928223,inter zapresic,2019-09-01
Siroki Brijeg,1233.4498291,siroki brijeg,2019-09-01
Pyunik,1233.40686035,pyunik,2019-09-01
Zalaegerszegi,1232.74035645,zalaegerszegi,2019-09-01
Raanana,1231.91015625,raanana,2019-09-01
Chikhura,1231.8046875,chikhura,2019-09-01
Zalgiris Vilnius,1231.53283691,zalgiris vilnius,2019-09-01
Silkeborg,1230.49047852,silkeborg,2019-09-01
Shkendija,1229.6385498,shkendija,2019-09-01
HJK Helsinki,1226.92285156,hjk helsinki,2019-09-01
Varazdin,1224.8527832,varazdin,2019-09-01
Slavia Sofia,1223.9263916,slavia sofia,2019-09-01
Dundalk,1223.81030273,dundalk,2019-09-01
Chindia Targoviste,1223.06396484,chindia targoviste,2019-09-01
Falkenbergs,1220.35668945,falkenbergs,2019-09-01
Saburtalo,1217.88635254,saburtalo,2019-09-01
Korona,1217.28320312,korona,2019-09-01
Diosgyori,1217.26501465,diosgyori,2019-09-01
Clinceni,1216.38623047,clinceni,2019-09-01
Torpedo Kutaisi,1212.45483398,torpedo kutaisi,2019-09-01
Botev Vratsa,1212.17248535,botev vratsa,2019-09-01
Trakai,1211.73815918,trakai,2019-09-01
Eskilstuna,1211.50427246,eskilstuna,2019-09-01
Ross County,1211.1385498,ross county,2019-09-01
St Mirren,1210.15466309,st mirren,2019-09-01
FK Riga,1209.47705078,fk riga,2019-09-01
Niedercorn,1207.8572998,niedercorn,2019-09-01
Rakow,1207.40942383,rakow,2019-09-01
FK Vitebsk,1207.03759766,fk vitebsk,2019-09-01
Vozdovac Beograd,1206.58312988,vozdovac beograd,2019-09-01
Kukesi,1203.67480469,kukesi,2019-09-01
Neman Grodno,1198.97631836,neman grodno,2019-09-01
Kaposvari,1198.66870117,kaposvari,2019-09-01
LKS,1196.74645996,lks,2019-09-01
Dunav Ruse,1195.54516602,dunav ruse,2019-09-01
Kuopio,1192.55639648,kuopio,2019-09-01
Backa Topola,1191.30773926,backa topola,2019-09-01
Shamrock,1190.47644043,shamrock,2019-09-01
Radnik Surdulica,1188.38757324,radnik surdulica,2019-09-01
