snapshot_date,club,club_clean,elo
2018-09-01,Botev Plovdiv,botev plovdiv,1344.88146973
2018-09-01,Botev Vratsa,botev vratsa,1157.53857422
2018-09-01,Botosani,botosani,1339.51098633
2018-09-01,Braga,braga,1623.77453613
2018-09-01,Brann,brann,1409.17370605
2018-09-01,Breda,breda,1316.99633789
2018-09-01,Brentford,brentford,1526.76635742
2018-09-01,Brescia,brescia,1390.75268555
2018-09-01,Brest,brest,1494.88195801
2018-09-01,Bristol City,bristol city,1483.95825195
2018-09-01,Brommapojkarna,brommapojkarna,1214.70080566
2018-09-01,Brondby,brondby,1523.50085449
2018-09-01,Brugge,brugge,1636.13061523
2018-09-01,Bueyueksehir,bueyueksehir,1636.94775391
2018-09-01,Bursaspor,bursaspor,1408.90820312
2018-09-01,Cadiz,cadiz,1576.16931152
2018-09-01,Caen,caen,1492.77294922
2018-09-01,Carpi,carpi,1395.51257324
2018-09-01,Cefn Druids,cefn druids,983.869140625
2018-09-01,Celje,celje,1245.08911133
2018-09-01,Celtic,celtic,1551.22839355
2018-09-01,Cercle Brugge,cercle brugge,1392.18847656
2018-09-01,CFR Cluj,cfr cluj,1470.81054688
2018-09-01,Charleroi,charleroi,1462.64660645
2018-09-01,Chateauroux,chateauroux,1426.14599609
2018-09-01,Chaves,chaves,1428.77832031
2018-09-01,Cherno More,cherno more,1266.79907227
2018-09-01,Chernomorets,chernomorets,1377.29272461
2018-09-01,Chiajna,chiajna,1283.74609375
2018-09-01,Chikhura,chikhura,1215.5333252
2018-09-01,Cittadella,cittadella,1473.96520996
2018-09-01,Clermont,clermont,1480.58813477
2018-09-01,Cliftonville,cliftonville,1000.13360596
2018-09-01,Coleraine,coleraine,993.976318359
2018-09-01,College Europa,college europa,907.228393555
2018-09-01,Connahs Quay,connahs quay,1004.33007812
2018-09-01,Cordoba,cordoba,1514.09985352
2018-09-01,Cork City,cork city,1200.24450684
2018-09-01,Cosenza,cosenza,1373.24108887
2018-09-01,Cracovia,cracovia,1261.43615723
2018-09-01,Craiova,craiova,1414.19213867
2018-09-01,Cremonese,cremonese,1386.12475586
2018-09-01,Crotone,crotone,1527.3963623
2018-09-01,Crusaders,crusaders,1013.3949585
2018-09-01,Crvena Zvezda,crvena zvezda,1658.31762695
2018-09-01,CSKA Moskva,cska moskva,1715.07568359
2018-09-01,CSKA Sofia,cska sofia,1471.81469727
2018-09-01,Cukaricki,cukaricki,1309.27514648
2018-09-01,Dalkurd,dalkurd,1218.81323242
2018-09-01,Darmstadt,darmstadt,1477.65246582
2018-09-01,De Graafschap,de graafschap,1278.59545898
2018-09-01,Debrecen,debrecen,1254.22692871
2018-09-01,Den Haag,den haag,1361.51269531
2018-09-01,Depor,depor,1606.67456055
2018-09-01,Derby,derby,1515.13305664
2018-09-01,Derry City,derry city,1193.77026367
2018-09-01,Desna,desna,1378.56311035
2018-09-01,Dinamo Brest,dinamo brest,1296.44030762
2018-09-01,Dinamo Bucuresti,dinamo bucuresti,1447.88525391
2018-09-01,Dinamo Minsk,dinamo minsk,1417.25732422
2018-09-01,Dinamo Tbilisi,dinamo tbilisi,1202.96289062
2018-09-01,Dinamo Vranje,dinamo vranje,1125.11413574
2018-09-01,Dinamo Zagreb,dinamo zagreb,1573.62878418
2018-09-01,Diosgyori,diosgyori,1179.87011719
2018-09-01,Djurgarden,djurgarden,1410.00012207
2018-09-01,Dnepr Mogilev,dnepr mogilev,1080.98132324
2018-09-01,Domzale,domzale,1353.50317383
2018-09-01,Dresden,dresden,1385.62487793
2018-09-01,Drita,drita,1102.24316406
2018-09-01,Dudelange,dudelange,1261.1529541
2018-09-01,Duesseldorf,duesseldorf,1472.00231934
2018-09-01,Dukla,dukla,1265.30175781
2018-09-01,Dunajska,dunajska,1373.56774902
2018-09-01,Dunarea Calarasi,dunarea calarasi,1280.36816406
2018-09-01,Dunav Ruse,dunav ruse,1201.02990723
2018-09-01,Dundalk,dundalk,1258.82751465
2018-09-01,Dundee,dundee,1169.55773926
2018-09-01,Dynamo Kyiv,dynamo kyiv,1708.21240234
2018-09-01,Dynamo Moskva,dynamo moskva,1560.06213379
2018-09-01,Elche,elche,1475.26635742
2018-09-01,Elfsborg,elfsborg,1350.95532227
2018-09-01,Emmen,emmen,1277.39709473
2018-09-01,Engordany,engordany,771.294799805
2018-09-01,Erzurum BB,erzurum bb,1365.6138916
2018-09-01,Esbjerg,esbjerg,1322.06188965
2018-09-01,Etar,etar,1218.7824707
2018-09-01,Eupen,eupen,1326.41577148
2018-09-01,Excelsior,excelsior,1350.41552734
2018-09-01,Extremadura,extremadura,1468.76818848
2018-09-01,FC Kobenhavn,fc kobenhavn,1560.08972168
2018-09-01,FC Krasnodar,fc krasnodar,1657.67150879
2018-09-01,FC Lviv,fc lviv,1370.30236816
2018-09-01,FC Samtredia,fc samtredia,1185.59155273
2018-09-01,Feirense,feirense,1406.03955078
2018-09-01,Fenerbahce,fenerbahce,1633.83068848
2018-09-01,Ferencvaros,ferencvaros,1403.66882324
2018-09-01,Feyenoord,feyenoord,1545.12780762
2018-09-01,FK Astana,fk astana,1490.37890625
2018-09-01,FK Minsk,fk minsk,1177.5604248
2018-09-01,FK Riga,fk riga,1140.85437012
2018-09-01,FK Sarajevo,fk sarajevo,1236.93798828
2018-09-01,FK Vitebsk,fk vitebsk,1310.35778809
2018-09-01,Flora Tallinn,flora tallinn,951.318481445
2018-09-01,Foggia,foggia,1435.16455078
2018-09-01,Fola Esch,fola esch,1175.41247559
2018-09-01,Folgore,folgore,697.667236328
2018-09-01,Forest,forest,1427.91467285
2018-09-01,Fuerth,fuerth,1419.99157715
2018-09-01,Gabala,gabala,1357.81506348
2018-09-01,Galatasaray,galatasaray,1649.42700195
2018-09-01,Gandzasar Kapan,gandzasar kapan,1010.20599365
2018-09-01,Gaz Metan,gaz metan,1298.33874512
2018-09-01,Gazelec,gazelec,1382.80883789
2018-09-01,Genk,genk,1634.83886719
2018-09-01,Gent,gent,1579.03894043
2018-09-01,Giannina,giannina,1385.13916016
2018-09-01,Glenavon,glenavon,999.681274414
2018-09-01,Goeteborg,goeteborg,1338.89916992
2018-09-01,Goeztepe,goeztepe,1438.8371582
2018-09-01,Gomel,gomel,1165.32995605
2018-09-01,Gornik,gornik,1298.39038086
2018-09-01,Gorodeya,gorodeya,1210.93591309
2018-09-01,Gota,gota,1007.7288208
2018-09-01,Granada,granada,1527.68884277
2018-09-01,Grasshoppers,grasshoppers,1381.38562012
2018-09-01,Grenoble,grenoble,1402.2824707
2018-09-01,Groningen,groningen,1396.4934082
2018-09-01,Guimaraes,guimaraes,1472.94213867
2018-09-01,Gzira United,gzira united,1010.68231201
2018-09-01,H Tel Aviv,h tel aviv,1204.0592041
2018-09-01,Haecken,haecken,1446.37011719
2018-09-01,Hafnarfjoerdur,hafnarfjoerdur,1231.44030762
2018-09-01,Hajduk,hajduk,1467.10144043
2018-09-01,Haladas,haladas,1183.18676758
2018-09-01,Hamburg,hamburg,1570.73291016
2018-09-01,Hamilton,hamilton,1164.5513916
2018-09-01,Hammarby,hammarby,1423.57580566
2018-09-01,Hapoel Eran Hadera,hapoel eran hadera,1218.51904297
2018-09-01,Hapoel Haifa,hapoel haifa,1336.31030273
2018-09-01,Hartberg,hartberg,1369.72888184
2018-09-01,Haugesund,haugesund,1376.22253418
2018-09-01,Hearts,hearts,1331.41699219
2018-09-01,Heerenveen,heerenveen,1387.2644043
2018-09-01,Heidenheim,heidenheim,1435.00244141
2018-09-01,Heracles,heracles,1384.97558594
2018-09-01,Hermannstadt,hermannstadt,1259.34069824
2018-09-01,Hibernian,hibernian,1349.99365234
2018-09-01,HJK Helsinki,hjk helsinki,1229.63842773
2018-09-01,HNK Gorica,hnk gorica,1248.63220215
2018-09-01,Hobro,hobro,1293.46374512
2018-09-01,Holstein,holstein,1491.03808594
2018-09-01,Honved,honved,1301.36608887
2018-09-01,Horsens,horsens,1337.87683105
2018-09-01,Hull,hull,1463.54040527
2018-09-01,Iasi,iasi,1316.82983398
2018-09-01,IK Sirius,ik sirius,1263.73962402
2018-09-01,Ilichivets,ilichivets,1378.38842773
2018-09-01,Ilves Tampere,ilves tampere,1160.13317871
2018-09-01,Ingolstadt,ingolstadt,1458.60510254
2018-09-01,Inter Zapresic,inter zapresic,1303.7598877
2018-09-01,Ipswich,ipswich,1424.94018555
2018-09-01,Irtysh,irtysh,1286.81604004
2018-09-01,Isloch,isloch,1155.7545166
2018-09-01,Istra 1961,istra 1961,1229.59069824
2018-09-01,Jablonec,jablonec,1494.65405273
2018-09-01,Jagiellonia,jagiellonia,1410.44799805
2018-09-01,Kairat,kairat,1334.88464355
2018-09-01,Kalmar,kalmar,1338.9017334
2018-09-01,Karabakh Agdam,karabakh agdam,1497.73193359
2018-09-01,Karpaty,karpaty,1370.18847656
2018-09-01,Karvina,karvina,1287.96081543
2018-09-01,Kasimpasa,kasimpasa,1514.04016113
2018-09-01,Kayseri,kayseri,1429.51855469
2018-09-01,Kilmarnock,kilmarnock,1306.10839844
2018-09-01,Kiryat Shmona,kiryat shmona,1259.66210938
2018-09-01,Kisvarda,kisvarda,1151.33178711
2018-09-01,Klaksvik,klaksvik,933.072937012
2018-09-01,Koeln,koeln,1563.38317871
2018-09-01,Konyaspor,konyaspor,1473.34509277
2018-09-01,Korona,korona,1295.33581543
2018-09-01,Kortrijk,kortrijk,1458.36462402
2018-09-01,Kristiansund,kristiansund,1313.8392334
2018-09-01,Krsko,krsko,1155.89746094
2018-09-01,Krusevac,krusevac,1277.06311035
2018-09-01,Kryliya Sovetov,kryliya sovetov,1448.92321777
2018-09-01,Kukesi,kukesi,1241.20275879
2018-09-01,Kuopio,kuopio,1170.24609375
2018-09-01,La Fiorita,la fiorita,696.548339844
2018-09-01,Laci,laci,1202.73010254
2018-09-01,Lahti,lahti,1156.92089844
2018-09-01,Lamia,lamia,1287.32897949
2018-09-01,Larisa,larisa,1327.00231934
2018-09-01,Larnaca,larnaca,1538.58361816
2018-09-01,Las Palmas,las palmas,1545.12866211
2018-09-01,LASK,lask,1482.83447266
2018-09-01,Le Havre,le havre,1513.90161133
2018-09-01,Lecce,lecce,1375.13647461
2018-09-01,Lech,lech,1404.19360352
2018-09-01,Lechia,lechia,1348.61999512
2018-09-01,Leeds,leeds,1513.39489746
2018-09-01,Legia,legia,1394.66992188
2018-09-01,Lens,lens,1471.23815918
2018-09-01,Levadeiakos,levadeiakos,1345.01464844
2018-09-01,Levadia Tallinn,levadia tallinn,1075.2130127
2018-09-01,Levski,levski,1417.10668945
2018-09-01,Liepajas,liepajas,1122.90234375
2018-09-01,Lincoln,lincoln,899.425537109
2018-09-01,Livingston,livingston,1216.7208252
2018-09-01,Livorno,livorno,1371.28503418
2018-09-01,Lok Moskva,lok moskva,1653.09521484
2018-09-01,Lok Plovdiv,lok plovdiv,1240.48266602
2018-09-01,Lok Zagreb,lok zagreb,1421.50109863
2018-09-01,Lokeren,lokeren,1421.35583496
2018-09-01,Lorient,lorient,1503.02539062
2018-09-01,Lubin,lubin,1352.42114258
2018-09-01,Luch Minsk,luch minsk,1117.92297363
2018-09-01,Luftetari,luftetari,1171.17590332
2018-09-01,Lugano,lugano,1408.60668945
2018-09-01,Lugo,lugo,1479.43310547
2018-09-01,Luzern,luzern,1445.53833008
2018-09-01,M Petach Tikva,m petach tikva,1292.90612793
2018-09-01,M Tel Aviv,m tel aviv,1470.95153809
2018-09-01,Maccabi Haifa,maccabi haifa,1250.28869629
2018-09-01,Macva Sabac,macva sabac,1193.91625977
2018-09-01,Magdeburg,magdeburg,1356.17346191
2018-09-01,Majadahonda,majadahonda,1458.15026855
2018-09-01,Malaga,malaga,1595.7043457
2018-09-01,Malatyaspor,malatyaspor,1450.38562012
2018-09-01,Mallorca,mallorca,1484.20397949
2018-09-01,Malmoe,malmoe,1517.25585938
2018-09-01,Maribor,maribor,1457.97497559
2018-09-01,Maritimo,maritimo,1452.54882812
2018-09-01,Matecosa Sant Julia,matecosa sant julia,757.924133301
2018-09-01,Mattersburg,mattersburg,1410.31677246
2018-09-01,Metz,metz,1508.3963623
2018-09-01,Mezokovesd-Zsory,mezokovesd-zsory,1198.25183105
2018-09-01,Middlesbrough,middlesbrough,1582.80371094
2018-09-01,Midtjylland,midtjylland,1533.50219727
2018-09-01,Miedz Legnica,miedz legnica,1240.30090332
2018-09-01,Millwall,millwall,1492.82116699
2018-09-01,Milsami Orhei,milsami orhei,1149.80834961
2018-09-01,Mlada Boleslav,mlada boleslav,1358.97265625
2018-09-01,Mladost,mladost,1069.10705566
2018-09-01,Mladost Lucani,mladost lucani,1237.35632324
2018-09-01,Molde,molde,1448.34765625
2018-09-01,Moreirense,moreirense,1376.47229004
2018-09-01,Motherwell,motherwell,1219.77893066
2018-09-01,Mouscron,mouscron,1326.56274414
2018-09-01,MTK,mtk,1208.88964844
2018-09-01,Mura,mura,1173.75415039
2018-09-01,Nacional,nacional,1358.24938965
2018-09-01,Nancy,nancy,1344.80749512
2018-09-01,Neftchi,neftchi,1292.28955078
2018-09-01,Neman Grodno,neman grodno,1235.79345703
2018-09-01,Netanya,netanya,1282.77990723
2018-09-01,Niedercorn,niedercorn,1192.63684082
2018-09-01,Nimes,nimes,1564.71838379
2018-09-01,Niort,niort,1407.36865234
2018-09-01,Nis,nis,1348.11938477
2018-09-01,Nomme Kalju,nomme kalju,1045.41149902
2018-09-01,Nordsjaelland,nordsjaelland,1429.171875
2018-09-01,Norrkoeping,norrkoeping,1457.95227051
2018-09-01,Norwich,norwich,1454.43835449
2018-09-01,Nova Gorica,nova gorica,1276.45996094
2018-09-01,Novi Sad,novi sad,1299.08911133
2018-09-01,Nuernberg,nuernberg,1502.37145996
2018-09-01,Numancia,numancia,1544.29492188
2018-09-01,Odd Grenland,odd grenland,1349.04394531
2018-09-01,Odense,odense,1341.7130127
2018-09-01,Oerebro,oerebro,1312.01708984
2018-09-01,OFI,ofi,1312.78271484
2018-09-01,Olexandriya,olexandriya,1508.23364258
2018-09-01,Olimpia Balti,olimpia balti,1171.55505371
2018-09-01,Olimpija Ljubljana,olimpija ljubljana,1372.00622559
2018-09-01,Olimpik Donetsk,olimpik donetsk,1373.9921875
2018-09-01,Olympiakos,olympiakos,1635.84289551
2018-09-01,Oostende,oostende,1482.84143066
2018-09-01,Opava,opava,1220.66748047
2018-09-01,Orleans,orleans,1353.8145752
2018-09-01,Osasuna,osasuna,1554.03479004
2018-09-01,Osijek,osijek,1431.56311035
2018-09-01,Ostersund,ostersund,1463.00891113
2018-09-01,Oviedo,oviedo,1556.4407959
2018-09-01,Paderborn,paderborn,1371.9263916
2018-09-01,Padova,padova,1375.18920898
2018-09-01,Paksi,paksi,1234.46154785
2018-09-01,Palermo,palermo,1494.49267578
2018-09-01,Panathinaikos,panathinaikos,1499.58410645
2018-09-01,Panetolikos,panetolikos,1343.62585449
2018-09-01,Panionios,panionios,1410.56616211
2018-09-01,PAOK,paok,1655.19616699
2018-09-01,Paris FC,paris fc,1446.55541992
2018-09-01,Partizan,partizan,1497.7467041
2018-09-01,Partizani Tirana,partizani tirana,1181.56262207
2018-09-01,Perugia,perugia,1431.87072754
2018-09-01,Pescara,pescara,1388.69543457
2018-09-01,Petrocub,petrocub,1182.04833984
2018-09-01,Piast Gliwice,piast gliwice,1313.58752441
2018-09-01,Plock,plock,1326.36987305
2018-09-01,Podgorica,podgorica,1083.91027832
2018-09-01,Pogon,pogon,1264.7364502
2018-09-01,Portimonense,portimonense,1368.61279297
2018-09-01,Porto,porto,1753.49890137
2018-09-01,Preston,preston,1494.57409668
2018-09-01,Pribram,pribram,1266.58996582
2018-09-01,Prishtine,prishtine,1111.52709961
2018-09-01,Proleter Novi Sad,proleter novi sad,1164.00244141
2018-09-01,PSV,psv,1679.14538574
2018-09-01,Puskas Akademia,puskas akademia,1177.11523438
2018-09-01,Pyunik,pyunik,1119.63061523
2018-09-01,QPR,qpr,1405.0456543
2018-09-01,R Letzebuerg,r letzebuerg,1123.27124023
2018-09-01,Raanana,raanana,1233.39440918
2018-09-01,Rabotnicki,rabotnicki,1204.85559082
2018-09-01,Rad,rad,1173.31494141
2018-09-01,Radnik Surdulica,radnik surdulica,1173.27294922
2018-09-01,Randers,randers,1358.52636719
2018-09-01,Rangers,rangers,1442.73937988
2018-09-01,Ranheim,ranheim,1285.84509277
2018-09-01,Rapid Wien,rapid wien,1568.5222168
2018-09-01,Razgrad,razgrad,1538.05969238
2018-09-01,Reading,reading,1389.11096191
2018-09-01,Red Star,red star,1379.18859863
2018-09-01,Regensburg,regensburg,1406.83068848
2018-09-01,Reims,reims,1594.15917969
2018-09-01,Reus Deportiu,reus deportiu,1488.27941895
2018-09-01,Rijeka,rijeka,1538.76501465
2018-09-01,Rio Ave,rio ave,1464.25585938
2018-09-01,Rizespor,rizespor,1366.46618652
2018-09-01,Rosenborg,rosenborg,1543.14770508
2018-09-01,Rostov,rostov,1624.20959473
2018-09-01,Rotherham,rotherham,1371.81542969
2018-09-01,Rubin Kazan,rubin kazan,1582.35180664
2018-09-01,Rudar Pljevlja,rudar pljevlja,1074.29370117
2018-09-01,Rudar Velenje,rudar velenje,1194.32727051
2018-09-01,Rudes Zagreb,rudes zagreb,1274.31188965
2018-09-01,Runavik,runavik,912.493408203
2018-09-01,Salernitana,salernitana,1406.57580566
2018-09-01,Salzburg,salzburg,1722.64550781
2018-09-01,Sandefjord,sandefjord,1203.30090332
2018-09-01,Sandhausen,sandhausen,1390.16772461
2018-09-01,Santa Clara,santa clara,1362.43334961
2018-09-01,Santa Coloma,santa coloma,763.513977051
2018-09-01,Sarpsborg,sarpsborg,1432.8269043
2018-09-01,Sepsi,sepsi,1306.4666748
2018-09-01,Septemvri Sofia,septemvri sofia,1225.02648926
2018-09-01,Setubal,setubal,1373.52185059
2018-09-01,Shakhtar,shakhtar,1763.42907715
2018-09-01,Shamrock,shamrock,1182.65881348
2018-09-01,Sheffield United,sheffield united,1475.95812988
2018-09-01,Sheffield Weds,sheffield weds,1486.87438965
2018-09-01,Sheriff Tiraspol,sheriff tiraspol,1333.65112305
2018-09-01,Shkendija,shkendija,1326.70690918
2018-09-01,Shkupi,shkupi,1206.1829834
2018-09-01,Sigma Olomouc,sigma olomouc,1373.20751953
2018-09-01,Sion,sion,1437.29077148
2018-09-01,Siroki Brijeg,siroki brijeg,1212.30932617
2018-09-01,Sittard,sittard,1270.47741699
2018-09-01,Sivasspor,sivasspor,1435.5144043
2018-09-01,Slask,slask,1303.29492188
2018-09-01,Slaven Belupo,slaven belupo,1330.81567383
2018-09-01,Slavia Praha,slavia praha,1550.63061523
2018-09-01,Slavia Sofia,slavia sofia,1256.94165039
2018-09-01,Slovacko,slovacko,1326.47827148
2018-09-01,Slovan Bratislava,slovan bratislava,1354.31335449
2018-09-01,Slovan Liberec,slovan liberec,1403.75085449
2018-09-01,Slutsk,slutsk,1229.87145996
2018-09-01,Smolevichi,smolevichi,1151.75683594
2018-09-01,Sochaux,sochaux,1401.7565918
2018-09-01,Soligorsk,soligorsk,1378.98986816
2018-09-01,SonderjyskE,sonderjyske,1365.32922363
2018-09-01,Sosnowiec,sosnowiec,1233.28210449
2018-09-01,Sparta Praha,sparta praha,1517.37841797
2018-09-01,Spartak Moskva,spartak moskva,1689.19592285
2018-09-01,Spartaks Jurmala,spartaks jurmala,1126.17712402
2018-09-01,Spezia,spezia,1411.67211914
2018-09-01,Sporting,sporting,1713.70544434
2018-09-01,St Johnstone,st johnstone,1257.94018555
2018-09-01,St Josephs,st josephs,874.370849609
2018-09-01,St Mirren,st mirren,1193.52905273
2018-09-01,St Poelten,st poelten,1365.95666504
2018-09-01,St Truiden,st truiden,1433.76086426
2018-09-01,Stabaek,stabaek,1290.75085449
2018-09-01,Standard,standard,1578.11071777
2018-09-01,Start,start,1195.50915527
2018-09-01,Steaua,steaua,1554.94848633
2018-09-01,StGallen,stgallen,1366.35339355
2018-09-01,Stjarnan,stjarnan,1155.33825684
2018-09-01,Stoke,stoke,1585.40710449
2018-09-01,Strasbourg,strasbourg,1509.1229248
2018-09-01,Stromsgodset,stromsgodset,1365.65234375
2018-09-01,Stumbras,stumbras,1186.578125
2018-09-01,Sturm Graz,sturm graz,1493.10778809
2018-09-01,Suduva,suduva,1283.57006836
2018-09-01,Sundsvall,sundsvall,1341.93701172
2018-09-01,Sutjeska,sutjeska,1058.2277832
2018-09-01,Sverdlovsk,sverdlovsk,1504.75170898
2018-09-01,Swansea,swansea,1603.21813965
2018-09-01,Tarragona,tarragona,1508.18029785
2018-09-01,Tenerife,tenerife,1557.97741699
2018-09-01,Teplice,teplice,1328.72705078
2018-09-01,Terek Grozny,terek grozny,1557.93554688
2018-09-01,Tescoma Zlin,tescoma zlin,1336.44775391
2018-09-01,The New Saints,the new saints,1017.46716309
2018-09-01,Thun,thun,1422.00732422
2018-09-01,Tobol,tobol,1288.16137695
2018-09-01,Tondela,tondela,1388.37634277
2018-09-01,Torpedo Kutaisi,torpedo kutaisi,1210.22558594
2018-09-01,Torpedo Minsk,torpedo minsk,1106.90112305
2018-09-01,Torpedo Zhodino,torpedo zhodino,1304.31945801
2018-09-01,Trabzonspor,trabzonspor,1519.83935547
2018-09-01,Trakai,trakai,1232.15698242
2018-09-01,Trans Narva,trans narva,973.611022949
2018-09-01,Tre Fiori,tre fiori,742.625488281
2018-09-01,Trelleborg,trelleborg,1211.81604004
2018-09-01,Trencin,trencin,1430.81665039
2018-09-01,Triglav,triglav,1130.33740234
2018-09-01,Trnava,trnava,1416.84069824
2018-09-01,Tromso,tromso,1311.13427734
2018-09-01,Troyes,troyes,1431.55456543
2018-09-01,Tula,tula,1527.62768555
2018-09-01,Ufa,ufa,1538.04931641
2018-09-01,Ujpest,ujpest,1274.66662598
2018-09-01,Union Berlin,union berlin,1487.26818848
2018-09-01,Utrecht,utrecht,1467.39587402
2018-09-01,Vaduz,vaduz,1313.23522949
2018-09-01,Valenciennes,valenciennes,1373.77111816
2018-09-01,Valerenga,valerenga,1357.67834473
2018-09-01,Valletta,valletta,1043.51220703
2018-09-01,Valur,valur,1155.25805664
2018-09-01,Vardar,vardar,1241.6348877
2018-09-01,Vejle,vejle,1292.32543945
2018-09-01,Vendsyssel,vendsyssel,1286.0012207
2018-09-01,Venezia,venezia,1460.95874023
2018-09-01,Venlo,venlo,1303.56225586
2018-09-01,Ventspils,ventspils,1229.69616699
2018-09-01,Vereya,vereya,1154.64770508
2018-09-01,Verona,verona,1450.67419434
2018-09-01,Vestmannaeyjar,vestmannaeyjar,1154.23254395
2018-09-01,Videoton,videoton,1435.89318848
2018-09-01,Viitorul,viitorul,1411.19494629
2018-09-01,Viktoria Plzen,viktoria plzen,1587.36157227
2018-09-01,Vitesse,vitesse,1491.87182617
2018-09-01,Vitosha Bistritsa,vitosha bistritsa,1172.78967285
2018-09-01,Voluntari,voluntari,1222.87817383
2018-09-01,Vorskla,vorskla,1488.04455566
2018-09-01,Vozdovac Beograd,vozdovac beograd,1269.55541992
2018-09-01,Wacker Innsbruck,wacker innsbruck,1361.37792969
2018-09-01,West Brom,west brom,1605.01794434
2018-09-01,Wigan,wigan,1398.09387207
2018-09-01,Willem II,willem ii,1381.07104492
2018-09-01,Wisla,wisla,1379.55224609
2018-09-01,Xamax,xamax,1323.85839844
2018-09-01,Xanthi,xanthi,1436.38781738
2018-09-01,Yenisey,yenisey,1454.55615234
2018-09-01,Young Boys,young boys,1653.18078613
2018-09-01,Zalgiris Vilnius,zalgiris vilnius,1246.18945312
2018-09-01,Zaragoza,zaragoza,1587.93603516
2018-09-01,Zeljeznicar,zeljeznicar,1235.76745605
2018-09-01,Zemun,zemun,1173.91394043
2018-09-01,Zenit,zenit,1750.00952148
2018-09-01,Zlatibor,zlatibor,1276.4777832
2018-09-01,Zorya,zorya,1478.7689209
2018-09-01,Zrinjski Mostar,zrinjski mostar,1187.38220215
2018-09-01,Zuerich,zuerich,1459.4979248
2018-09-01,Zulte Waregem,zulte waregem,1478.07067871
2018-09-01,Zwolle,zwolle,1332.03210449
2019-09-01,Aalborg,aalborg,1356.92883301
2019-09-01,Aarhus,aarhus,1399.11169434
2019-09-01,Aberdeen,aberdeen,1412.2545166
2019-09-01,Admira,admira,1359.0793457
2019-09-01,AEK,aek,1548.09570312
2019-09-01,AEL Limassol,ael limassol,1452.94006348
2019-09-01,AIK,aik,1494.22570801
2019-09-01,Ajaccio,ajaccio,1369.99182129
2019-09-01,Ajax,ajax,1845.15441895
